 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;
08:30;
08:45;"0,000"
09:00;"0,000"
09:15;"0,002"
09:30;"0,026"
09:45;"0,083"
10:00;"0,168"
10:15;"0,172"
10:30;"0,091"
10:45;"0,078"
11:00;"0,258"
11:15;"0,263"
11:30;"0,177"
11:45;"0,175"
12:00;"0,313"
12:15;"0,124"
12:30;"0,169"
12:45;"0,148"
13:00;"0,166"
13:15;"0,277"
13:30;"0,288"
13:45;"0,326"
14:00;"0,359"
14:15;"0,267"
14:30;"0,203"
14:45;"0,193"
15:00;"0,114"
15:15;"0,087"
15:30;"0,066"
15:45;"0,032"
16:00;"0,027"
16:15;"0,022"
16:30;"0,009"
16:45;"0,000"
17:00;
17:15;
17:30;
17:45;
18:00;
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
